Comentário;Classificação
Cara, que foco para não ser demitida kkkkkkkk;Duvida
Eu constrangida, assim como a Tatá, e a Ana bem plena.;Opiniao
Duas gerações de mulheres fantásticas! Cada uma com sua característica em perfeita harmonia deram um show!!!;Elogio
NAMARIA SUA SAFADA! MARAVILHOSA! HAHAH;Elogio
Antes né pq se não não engrossa o caldo ai como é q faz?;Opiniao
Ana Maria muito mais esperta,na obscenidade,dos que a Isis Valverde,que é novinha! Experiencias né benhe?!;Opiniao
Essa sem dúvida é a melhor temporada de todas, tanto quanto a convidados como os Especialistas. Amando demais.;Elogio
Qualquer creme de Leite da ponto de chantily tem de ta bem gelado, isso e muito importante eu ponho no freeezer por 15 20 minutos e bato e da super certo;Opiniao
O segredo do sucesso na Ana é a simplicidade e espontaneidade. Maravilha;Opiniao
Nossa eu pensei que era difícil fazer sorvete aí eu pesquisando na internet achei seu vídeo é fácil vou fazer mas pode ser qualquer creme de leite;Sugestão
Eh muito maravilhoso eu fiz com o creme de leite normal i Deu super certo tbm ficou muito bom;Elogio
Meu ficou mas de 40 minutos e não ficou duro;Critica
Fiz o sorvete e ficou maravilhoso,o leite condensado seu o ponto na primeira tentativa;Elogio
"Mano eu ja tava com saudade desse ""Eaí pessoal, tudo bem? Aqui quem fala é o Edu""";Opiniao
Edu é alérgico ao Brasil kkkkkkk;Opiniao
Cara esse Bf5 está mostrando o que a guerra não serve de nada pro mundo bom começo de gameplay sensacional;Elogio
Na hora que eu vi o MENU eu fiquei: tenho que comprar esse jogo;Opiniao
caraca sem palavras para descrever o quanto é lindo e incrível esse jogo cara !!! Excelente só falto Tradução verbal !;Elogio
Overman vc trás só jogos foda melhor canal;Elogio
Essa época era muito boa quando a Kéfera era simpática e engraçada;Opiniao
Só eu que to assistindo esse vídeo em 2019? Com sdd da kefera antiga???;Duvida
"Pena que agora ela só quer """"lacrar"""".. saudades dela assim";Critica
Geral aqui só fica dizendo que ela tava melhor antes do que agora kkkkkkkkk, também acho o mesmo, só espero que ela não apague esses vídeos antigos.;Opiniao
O vídeo inteiri eu super me indentifiquei;
Não me indentifiquei “mentir é feio”...Tá,só um pouquinho...TA BEM,EU CONFESSO! EU NEM SEI PASSAR DELINEADOR!;Opiniao
O PIOR É A VEIA ACHANDO QUE TEM UM PINGO DE MORAL, QUE SOCO NA CARA DA VEIONA LÁ;Odio
Ridículo um programa que pede opiniões e acaba sendo envergonhado por dar a sua opinião Volta TV Globinho por favor;Odio
Ela é muito femista, até a Fátima Bernardes falou que ele tava explicando o seu lado.....;Opiniao
Não sei quem é mais otario se é ela ou os que aplaude;Odio
Se eu entra-se nesse programa ela ia passar muita vergonha por eu usar os próprios argumento dela contra ela.;Opiniao
Em nenhum momento ele tava ensinando. Ele tava explicando uma situação, s-o-m-e-n-t-e. Deu vontade de vomitar agora! Pq eu assisti essa bosta?!;Odio
Nojo dessa mulher.eem nenhum momento ele quis ensinar,em nenhum momento ele desrespeitou ele so tava dando a opinião dele,ele tem liberdade de expressão e pode falar a hora que ele quiser.;Odio
Ela não é feminista, é uma femista pura. Está acabando com o nome do feminismo usando argumentos inválidos. Está fazendo oque critica;Opiniao
"Fátima ""lacrou"" mais do que a Kefera com esse ""Só um minutinho"" HUASUHASHUAS";Opiniao
E a kerefa é womanboring. Sendo womanrude and womanstupid. Resumindo esta cega achando q so ela tem razao e direto de fala. Esse é um aspecto terrivel da militancia.;Opiniao
Nossa, mas que mesquinha ela. Agradeço a Fátima pelo bom senso de deixar o rapaz falar. Educada e profissional;Elogio e Critica
Que mulher podre!!!! E essa mulher ao lado dela mais ainda! Rea,l o cara só explicou O QUE ACONTECEU COM ELE, de forma alguma ele quis explicar o que e o feminismo. Essa mulher precisa voltar para escola e aprender interpretação e também a respeitar o próximo!!!;Opiniao
Eu amo a ké mais ela foi errada pq a partir do momento que a fatima chamou ele e pediu a opnião dele ele tinha direito de falar oque pensa MESMO ESTANDO ERRADISSIMO;Opiniao
"Feminismo é falta de rola"" Frase muito machista, fala isso, mas não conhece 1% do verdadeiro movimento!!!";Opiniao
Essa mulher mancha o nome das mulheres,Meu Deus;Critica
Nem o YouTube aguentou quando a Kefera começou a falar, parou de responder na hora.;
Como que ela tá reclamando se ela mesma pediu pra ele explicar?;Duvida
Tenho certeza q a Globo nunca mais chamará essa incrível e corajosa mulher, pelo tom de voz ela já não aguenta mais tanta hipocrisia ....parabéns Janaína;Elogio
Janaína Paschoal é um EXEMPLO para todas as mulheres do Brasil !!! Me orgulho de ter votado nela !!!;Elogio
Ela está corretíssima, cala boca Fátima;Opiniao
"Neste ponto, concordo com a Janaína. Os pais deixam os filhos em cárcere privado por desespero. Como punir alguém que, por amor ao ente querido, comete um ""crime"" para salvaguardar esta pessoa querida? Incoerente, no mínimo.";Opiniao
A Fátima Bernardes, não sabe nada sobre internação compulsória, já Internet meu filho em várias e não adianta nada.o crack é um vício terrível.;Opiniao
Achei bem feito essa Fátima nunca deveria tá a frente desse programa e falando de casos como esse . Fátima é uma merda;Opiniao
Eu só acho que o Lula deveria se soltar mais nos debates, ta muito preso huehuheuheuheuheu;Sugestão
Arthur, tu precisa divulgar mais o teu número. Deveria estar estampado em cada vídeo teu. Se liga.;Sugestão
Você é sensacional. Sou muito fã. Se eu fosse de São Paulo meu voto seria seu. Um dia te conheço pessoalmente. Bjos;Elogio
Parabéns pelo trabalho Arthur, eu particularmente não concordo com alguns pensamentos seus mas curto seu canal;Elogio e Critica
Programinha chato Pra caralho, Globo só era bom Quando tinha Tv Globinho kkkkkkkkkk;Critica
Ela não discutiu com o rapaz, ela humilhou ele em rede nacional, e a apresentadora sem noção não fez nada. Encontro com Fatima Bernardes, programa ridículo.;Critica
E ela interrompendo o rapaz enquanto ele tentava falar é o quê mesmo?;Duvida
eu sou feminista, porém, em nenhum momento ele ficou querendo ensinar o que era o feminismo, ele só tava falando a opinião dele;Opiniao
Kéfera teve que interromper o cara pq mesmo sem tentar mto o maluco tava quase refutando com bom senso kkkkkk;Opiniao
Junior groovador é um mito!! fazer uma banda de rock tocar forró em pleno rock in rio! muito épico!!!;Elogio
Procure algo mais aleatório e falhe miseravelmente;Sugestão
o batera quase cagou na peidola pra segurar o groove do gordinho;Opiniao
Caralhooo kkkk nirvana em forro com junior groovador tocando no rock in rio no palco mundo kkkk isso é mt histórico;Opiniao
Tirou onda kkkkkkkkk.... E o baterista até fez uma levada legal kkkkkk... Lenda Júnior Bass groovador;Elogio
Jack é humilde demais!!! Esse baixista representa o Brasil pra krl!! FOda!;Elogio
KKKKKKK lembrei daquelas montagens que eles faziam com o Slipknot tocando Araketu (e outras), mas dessa vez não é montagem, é real!;
Mais Jack Black e menos Drake na próxima, os brasileiros agradecem;Sugestão
Puxa deveria sair o novo filme escola de rock 2, e chamar o Juninho para fazer uma participação especial, esse filme é muito louco, lembrei muito ao ver a postura de palco do Jack Black!;Sugestão
Mano esse cara aí é aquele amigo que todo mundo quer ter, que vibe boa! Merecido todo sucesso;Elogio
O cara que faz Tenacious D tocar forró em pleno Rock in Rio, merece uma placa!;Opiniao
NUNCA desistam dos seus sonhos, nunca tenham vergonha de fazer o que gosta!;Sugestão
Gente, onde o Jack Black achou esse cara? Pq ok, nós brasileiros conhecemos ele por causa dos memes e tal, mas o Jack Black?;Duvida
Mano isso vai ficar pra história. Sensacional.;Elogio
Fã de Slipknot aqui pra dizer: continua que ficou do caralho!! Mto bom kkkkkkkkkkkkkkkkkkkkkkkkk;Sugestão
VOCÊ é um MITO MANO! HAHAHAHA não para com isso serio!;Sugestão
O melhor de todos, mas um dos menos visualizados;Elogio e Critica
cara, acabei de entrar no seu canal! Já vi todos, sensacional!!!!! meus parabéns pelo trabalho! É demaaaaais!!!! kkkkkkkkkkkkkkkkkkkkkkkk;Elogio
1 ano atrás nesse mesmo dia eu vi esse vídeo, na moral, que montagem foda;Elogio
Os cara vem xingar ainda kkkkkkkkkkkkkk amo rock, e achei engra demais, SLC;Opiniao
como eu só fui descobrir isso agr?! méu déus kkkkk;Duvida
Caralho, nunca ri tanto...!! pqp mto bom parabens :D;Elogio
Esses moleques cantam funk tudo tem voz de desenho.;Opiniao
Que taradinho bunitinho! Rs;Elogio
Tava triste ai chegou a notificação do vídeo tou de boa agr kkkkkkkkkkkk;
Se houver um concorrente, mais barato, eu diria que o Kwid é ruim. Como não tem, tá ótimo!;Opiniao
Deviam pegar alguém que não odiasse o carro pra fazer o teste;Sugestão
Exigiu muitos itens que carros com o dobro do preço não tem nem como opcional....;
ha este carrinho e tao bom que esta incomodando todas as concorrentes, so quem tem pode falar o carro e otimo eu recomendo.;Opiniao
Auto Esporte só fala bem de quem paga. Saudades do Vrum do SBT.;Opiniao
Esse vídeo resume o nome do canal! Sem achismo e nem patrocínio.;
Vcs já estão com uma média de visualizações por vídeo maior que o canal Top Speed, que tem o triplo de inscritos. Parabéns.;Elogio
Veloster e o gato a jato do Pica pau quando toma a pílula do gato kkkkkkkk ...so quem e das antigas vai entender.;Opiniao
"Não vejo nenhum problema chamar esse caro de esportivo, pois chamam o vasco de ""gigante da colina"" kkkkk";Opiniao
Pra mim vocês são a referência em avaliação de carros. Um show!;Elogio
Carros da Hyundai são sempre bem vindos! Mais um vídeo top!!;Elogio
Com certeza. O melhor canal de avaliação automotiva. Não são focados apenas no zero. Atendem todos os bolsos. Parabéns pelo ótimo conteúdo.;Elogio
"Eu tenho raiva desses lojistas, o carro deles é ""perfeito"" e o nosso desvalorizam no máximo. mesmo que estejam em estado de conservação parecidos";Opiniao
Eu tive um Cliozinho e posso dizer que é um trator, nunca me deixou na mão, um guerreiro.;Opiniao
Eu tenho um amigo mão de vaca q tem um Clio a 6 anos, e eu vou te contar, so troca óleo e nunca deu defeito, acho q nem vela ele trocou. Muito bom mesmo;Elogio
Cinco anos de federal e não fui doutrinada desse jeito. Poxa, estudei errado. Kkkkkk. :(;Opiniao
Se eu soubesse que era assim, até teria me esforçado para entrar numa federal. Triste.;Opiniao
"Mas como?!! Estudei na federal e não me ensinaram esse ""passinho""?!!";Duvida
O bom desse vídeo é que as bolsonetes não tem inteligência mínima pra entender sarcasmo kkkk;Opiniao
Kralho, tem uns comentários aki q me dão vergonha de ser brasileira. Porta, vcs são foda, muito foda !!!;Elogio
Nunca vi tanta perfeição em retratar as aberrações da Federal.....;Opiniao
12 mil BOZO putas, deram deslike nesse video.;Odio
É exatamente assim que o pessoal da federal consegue desenvolver mais de 90% das pesquisas no Brasil. Kkkkkkkkkk adorei a crítica;Opiniao
Isso é um absurdo! Estudei 6 anos na USP e nunca me convidaram pras surubas!;Opiniao
Lentamente a Motorola vai retornando ao mercado. Ótimo vídeo CanalTech !!!;Elogio
"Achei a parte de trás feia ;-;";Opiniao
Motorola não é tão ruim quanto eu pensava, o G7 Plus é bom, trava bem pouco.;Elogio e Critica
Ultimamente estão cagando os aparelhos celulares com tantas câmeras.;Critica
Melhor do que a original quem acha deixa o gostei;Elogio
Eu vou dar um like mas porque essa música é muito foda;Elogio
QUERO VER DESMASCARAR O PALOCCI.BRACO DIREITO DE LULA. KKKKK CHUPA QUE A CANA E DOCE PTZADA QUADRILHA;Odio
grupo de vermes;Odio
Este Paulo Guedes é pipoqueiro igual seu chefe Bosolixo São todos pilantras eles só querem o vem a nos o vosso reino é nada;Odio
ESTE VEIO AÍ E UMA MULA DEIXA DE SER UM DEMONIO;Odio
O Satanas em pessoa!! Pessoa horrivel!!;Odio
Esse Gilmar Mendes tem cara de demônio, deve ter feito um pacto, já já vai voltar para o lugar de onde veio;Odio
Cada like é um dedo no cu de bolsonaro!;Odio
DILMA ESTOCA VENTO LULA LADRÃO PINGUÇO;Odio
E os funcionários do BNDES não serão responsabilizados?;Duvida
EMPRETIMOS???? Para quem????Quanto cada lado lucrou??O Brasil sabemos que só levou prejuizo.Quantade vidas se foram pela falta desse dinheiro???Lamentavel;Duvida
tochas e forcados: a única solução para o Brasil...;Odio
Vereadorzinho que agir contra UBER será execrado do rumo político !;Odio
"E Oscar de ""PESSOA QUE SÓ FALA ASNEIRA"" vai para... Kéfera!";Odio
Kefera vai pro buraco junto com a Globo. Ela esta no lugar certo, lá que é lugar de gente estupida!!!! RIP TV Globo & Kefera!!!!!;Odio
SENHOR ENÉIAS VENHA E JOGUE UMA BOMBA NO BRASIL;Odio
Bom que o Mourão vá para a guerra e bote eles na linha de frente.;Odio
se vc for pra guerra Mourão, leve mesmo o Moro e sua turminha juntos, e faça um favor pro Brasil: Morram!;Odio
Vai pra guerra mesmo Morão leva moro e dallagnol e tomara que vcs sejam fuzilados;Odio
ELE NÃO QUER SAIR PORQUE LUGAR DE BANDIDO É NA CADEIA;Odio
que continua enganando o povo este bandido LADRÃO.;Odio
Este véio é um débil mental igual ao seus seguidores da seita.;Odio
Só doentes mentais acreditam no Lula;Odio
Dá um chute no traseiro dele, pra fora da PF! Que ele sai!;Odio
LULA MALDITO TEM QUE SER MORTO.;Odio
devolve o Brasil pros índios e depois pede desculpa.;Sugestão
Marcelo deveria ser o Ministro da segurança do Brasil;Sugestão
Fecha o Ministério da Educação e legaliza o home-schooling.;Sugestão
Devo carregar minha bateria nova quantas vezes por mês ?;Duvida
Sugestão de vídeos... Como acender churrasqueira... Álcool, óleo. Abraços. Top canal.;Sugestão
FAZ UM EVENTO DESSE DE CHURRASCO EM BELO HORIZONTE, POR FAVOR;Sugestão
Ele poderia sugerir alguma receita no final para aproveitar sobras do molho de queijo.;Sugestão
Vem pro Parana, que churrasqueada mais animada e contagiante, amamos os videos;Sugestão
Ai zé grava um vídeo com o boquinha ele é seu fã e faz churrasco com base nos seus vídeos;Sugestão
Coloca o nome da churrasqueira de mormaço.;Sugestão
Para não empelotar o trigo, disolve ele no leite frio e depois coloca na panela, bem mais fácil, fica a dica !;Sugestão
Reproduz o meme do ateu e o cristão discutindo num acampamento, pelo amor de Deus!;Sugestao
Esse vídeo é sem dúvida a maior contribuição à cultura brasileira dos últimos anos. Parabéns 11/10;Elogio
Seu vídeo foi tão motivacional para mim, que me convenci de que é isso que quero pra mim! E me convenci tanto que já tava animada pra trabalhar com programação amanhã mesmo! Pena que as coisas não funcionam assim... Rs;Elogio
aula mais complicada até agora, pelo menos pra mim;Opiniao
O vegeta parece a Larissa Manoela só qu com a testa menor;Opiniao
Faz com Cavaleiros do Zodíaco!;Sugestao
Vc desenhou bem o Yamcha hein ficou perfeito;Elogio
Eu odiava esse universo, mas ele é simplesmente INCRÍVEL!;Opiniao
As melhores partes são da Samira entrando na mente dos outros sendo a infectada, e a bixa é tão rata que convence!;Opiniao
Nem assisti ainda porém sei que ta DO BALACUBACU!;Opiniao
Como eu amo essa intro;Elogio
man na moral ta muito bom essa edição eu apoio mais videos assim, hehe;Elogio e Sugestao
Parece que esse povo tava fumando uma e resolveu ir jogar free fire;Opiniao
A era clickbait chega para todas;Critica
Eu tentando entender o título do vídeo até agora kk;Opiniao
As crianças encherão a cara de de bolo alcoólico;Opiniao
Parece que esse bolo de chocolate tá meio solado;Critica
Por favor não dublem essa risada, tá perfeito de mais do jeito que tá;Sugestao
Marvel: vamos explorar o Multiverso DC: vamos explorar a mentalidade do homem;Opiniao
Um filme que fala sobre saúde mental, merece todo reconhecimento do mundo.;Opiniao
O Jacquin é muito fofinho, mas quando o chefe Jacquin realmente entra em cena, dá medo.;Opiniao
"Rafael conhece mil idiomas e culturas, mas ainda fala ""seje"".";Critica
Como ganhar escravos?Simples meu amigo. Seja uma garota com voz de levar um homem pra cadeia e Cante músicas tocando violão ! Ashausbaushau;Odio
Não na boa man Eu sou garota e adoro a Sasa mas ela tem partes que exagera e passa dos limites;Critica
Mano, ela tá muito escrotinha. NA BOA;Odio
"Sasa clips e ""engraçados"" na mesma frase. Tá no crack?";Odio
alguém sabe que música é essa ?;Duvida
Os inscrito dessa mina é tudo escravoceta mano;Odio
Já achei ela legal, por ser talentosa cantando e tudo mais, porém ela é muito forçada, quer ser engraçada sem ser;Opiniao
Essa esquila é mt sem graça tnc;Odio
"Gnt alguém me explica pq a sasa apagou os vídeos ""normais"" dela? Pq ela só ta postando nesse estilo e bem de vez em quando?";Duvida
Essa aqui é a famosa mulher platina?;Odio
CADE O FILME, RITO GOMES? NESSES GRÁFICOS SE PÁ SUPERA ATÉ TOY STORY;Elogio e Duvida
MANO O NIVEL DESSA ANIMAÇÃO TA ALEM DO COMUM. SERIO.... NÃO TO ELOGIANDO PORQUE SOU FÃ NÃO. EU CONHEÇO E FAÇO ALGUMAS E MANO!!!! OS MOVIMENTOS ESTÃO MUITO REALISTA, AS CORES, MANO..... PIREI AQUI Acho engraçado que muita gente não joga lol por diversos motivos, pc ruim, já ta cansado de rage e injustiça, etc. Mas acompanha as animações. EU devo dar os parabens para a riot por isso. Serio! Mas em outros sentidos fica devendo e muito!;Elogio
Queria uma série na Netflix kkk essa animação tá melhor que o jogo;Elogio e Sugestao
Acordar vendo isso... que coisa linda s2;Elogio
Eles não sabem nada,vc é a melhor YouTuber do mundo;Elogio
Que dente amareo. Nojenta;Odio
Que besteira comer mortos com rashi;Odio
Que bosta;Odio
Parei por causa dessa voz acelerada, forçada! Deslike!;Odio
Nem é da china sua bosta;Odio
Pq q todo japones(a) tem a cara gorda?;Odio
Melhor ser rigorosa do que ser aquela bagunça, e existe sim escolas que não tem uniforme, pesquisa melhor antes de falar merda;Odio
Sua imunda, cala sua boca eu vou jogar a bomba de hiroshima no seu cu;Odio
Você é retardada como é muito feia e horrivel amada;Odio
Que cabelinho zuado;Odio
Resumo seu canal em apenas uma palavra: FALTA de criatividade. Você só imita outros youtubers.;Odio
Não entendi nada essa menina faz merda nenhuma;Odio
Pensei que você era japonesa ou chinesa esses japoneses são chatos brincadeira;Odio
Faz algum vídeo sobre como cuida do teu cabelo, descoloração e etc, meu sonho ter um cabelinho lindo q nem o teu;Elogio e Sugestao
E a série de linux, quando teremos mais vídeos?;Duvida
Hey, quando vai ter mais vídeos do curso de python?;Duvida
Ótima aula. Como sempre, objetiva e bastante didática. Parabéns.;Elogio
Quem teve aula de algoritmo e não entendeu e está aqui no cursoemvídeo para estudar?;Duvida
Javascript e agora Linux, melhor canal de cursos do YouTube.;Elogio
como q faz pra ter o nick igual de outra pessoa?;Duvida
Uma pergunta, acho q tenho isso, pra saber vou ao psiquiatra ou psicólogo?;Duvida
Um remix muito brabi no fim alguem sabe o nome ?;Duvida
Que gráficos realistas, a tecnologia é mesmo surpreendente;Elogio
Seus curso são ótimo.. cria depois um curso de react e react native e nodes;Elogio e Sugestao
buenas, mestre gafanhoto!!!...ocorre que ao dar ctrl+c e ctrl+v, ele não mostra a sequência ex002 e sim ex001copy, por acaso, preciso mexer em alguma configuração?;Duvida
Eu fiz o exercício e não tive sucesso. Alguém consegue encontrar o erro?;Duvida
Esse curso mudou minha vida, devo muito a esse grande mestre !;Elogio
Nossa, passei mal de tanto rir, tá GENIAL esse formato XD HAHAHAHAHAHAHAHAHAHA;Elogio
estão escolhendo só as pérolas mesmo! por favor, Fábio Yabu matando a galinha, por favor!!;Sugestao
Adoro essas referências e é muito bom rever isso animado;Elogio
Quanto sera que custa um bolo desses?;Duvida
fácil aprender, difícil lembrar.;Opiniao
Cadê nosso Especial de RPG do MRG?;Duvida
Estou a começar a gostar imenso da forma como as aulas são dadas. Sou de Portugal e estou a tirar Informática de Gestão, quero seguir para Engenharia de Informática. Este video curso parece ser porreiro e ajudar a criar bases para começar a ser um bom programador.;Elogio
Jared Leto deveria vir a publico pedir desculpas.;Opiniao
Não imagino se o leon e a nilce se separarem. Mano, o YouTube acaba;Opiniao
Foda-se o politicamente correto !! Chega logo outubro;Odio
Fico imaginando um curso de inglês com este nível de qualidade. Seria um sonho.;Opiniao
Já era pra passar de um milhão de escritos é perfeito esse canal;Elogio
Qual foi o fogão utilizou para fazer tudo?;Duvida
Cadê a receita da massa da pizza??;Duvida
É mas se eu pedir delivery não tenho que lavar louça kkkkkkkk;Opiniao
"Gosto muito desse canal.
Apresenta o essencial ..
Sem falação nem encheçao de linguica e nem exibicionismo.
Excelente pra quem tem mais o que fazer e só quer o q se propõe...dar a receita !!";Elogio
Eu não entendo pq esse canal não tem mais inscritos;Opiniao
Maravilhosa, sempre. Hoje, uma idéia sensacional.;Elogio
A única pergunta que importa: por que pudim de queijo e não leite condensado?;Duvida
Sou filho de padeiro/confeiteiro, e cresci comendo o melhor sonho do mundo! Lembrança de infância.;Opiniao
Sofro toda vez que a Elisa usa creme de leite nesse recipiente que fica um monte grudado no vidro;Opiniao
A masterchef mais talentosa e elegante de todas as temporadas!!!! Linda, perfeita, ah se desse pra sentir o cheiro. BJ;Elogio
Receitas muito didáticas! muito técnicas. Parabéns, sou seu fã!;Elogio
Eu adoro as críticas e o conteúdo histórico que você utiliza para enriquecer os vídeos! Genial, melhor canal!;Elogio e Critica
"Observação, o alho negro não é uma fermentação é uma reação de Maillard, o açúcar do alho não quebra em álcool mas sim ""carameliza"" mas não de forma convencional.";Sugestao
Professor, consigo notar que você tem mt conhecimento e sabe o que tá fazendo. Só precisa agir com mais naturalidade, controlar mais um pouquinho o nervosismo. Grande abraço, parabéns!;Elogio e Critica
"No Masterchef da vontade de quebrar ele na paulada mas vendo ele assim dá vontade de por ele num potinho de ""tompero"" de tão fofinho que ele é.";Opiniao
Gostei das explicações. Me ajudou muito. Parabéns. Sua calma ajuda no entendimento.;Elogio
Vou fazer aqui na minha casa, só vou trocar o atum por um bife, o caviar por cebola e a laranja vou chupar depois.;Opiniao
O Paulo é um menino incrível , eu conheci o restaurante é foi uma coisa sobrenatural ao provar a especialidade da casa , um ambiente agradável;Elogio
"Rapaz, tô roendo as unhas aqui, quase comendo a mão de ansiedade aguardando pelos próximos vídeos e fim do curso. Tenho várias propostas em vista para desenvolvimento de sites e já ía começar a fazer na mão mas quando vi a proposta desse curso, parei e tô esperando. Gosto demais do Wordpress e uso há anos mas só para blogs. Conteúdo inestimável e apesar de usar a muito tempo, já aprendi muita coisa que me fez modernizar meus projetos. Obrigado Guanabara e Ramiro!

";Elogio
guanabara faz um curso basico de git e github de como usar essa ferramenta;Sugestao
Boa noite, parabéns pelo trabalho!;Elogio
Vcs poderiam indicar literatura!. Bons livros sobre o assunto. muito obrigado!.;Sugestao
Um dos melhores tutores que já vi no youtube.;Elogio
oque acontece se usar engraçadol com gritasmil ?;Duvida
Show! Aprendo mais aqui do que na faculdade kkkkk;Elogio
Eu sou deficiente visual e gostaria muito de acompanhar os seus cursos, Porém não tem nenhum material escrito para eu acompanhar as aulas, mas mesmo assim estou aprendendo bastante Só ouvindo as aulas.;Sugestao
Professor, precisa dar continuidade nesse curso mais avançado. É muito didático. Obrigado.;Sugestao
Finalmente um tutorial em português q tem uma música de fundo e o tutor n fala parecendo q ta morrendo.;Elogio
Outra dica é: Sempre faça backup antes de mexer.;Sugestao
Qual versão você esta usado ?;Duvida
Quero desenvolver um rpg estilo Harvest Moon na Unreal para um projeto de TCC, acha que Unreal é melhor que o RPG Maker?;Duvida
Muito boas suas aulas: claras e explicativas. Aguardando a aula #54!;Elogio
Qual a configuração do seu pc?;Duvida
BluePrint funciona apenas na Unreal?;Duvida
Sensacional fera, muito bacana!;Elogio
Melhor canal para aprender unity de todo o Youtube!!;Elogio
Que homem tóxico, restaurante Chernobyl;Opiniao
10 minuto de vídeo já quero descer esse proprietário na porrada;Opiniao
Que triste esse episódio, atormentador... Machista, covarde, sem educação, ignorante, etc.;Opiniao
Em negócios, não se põem amigo e família pra tomar conta, contrate profissionais.....;Sugestao
Pensei que a Netflix is fazer uma série de Girls In The House;Opiniao
Só eu que fico curioso com as histórias da bonanza?;Duvida
Só eu que fico com vergonha de ver esses vídeos?;Duvida
